Producto,AlbaranTransito,None,AlbaranOrigen,None,AlbaranOrigen,IDInterno,IDInterno
'[WLLAP] Llave de Ajuste de Puntas TW-1L Woodpecker ', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'Paperpoint 04T#30 Spident ', 'TRANSITO - TIENDA LIMA/00055', None, 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 'LA PLATA - TIENDA LIMA/00095', 1942, 1941
'[WFOBH] Fibra Optica. Tipo B Blanco Woodpecker', 'TRANSITO - LA PLATA/00334', None, 'LOS OLIVOS:LAS PLATAS/00282', None, None, 7574, None
'[S31X] NOP Sterile Single use Dental Needles 31G/XS 0.26x12mm x 100und  Spident', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'Curing Light  LED.C cure Woodpecker', 'TRANSITO - TIENDA LIMA/00133', None, 'LA PLATA - TIENDA LIMA/00189', None, 'LA PLATA - TIENDA LIMA/00189', 5005, 4939
'Curing Light  MiniS RTA', 'TRANSITO - TIENDA LIMA/00211', None, 'LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7404, 7352
'[S30S] NOP Sterile Single use Dental Needles  30G/S 0.3x21mm x 100und  Spident', 'TRANSITO - LA PLATA/00272', None, 'LOS OLIVOS:LAS PLATAS/00229', None, None, 6178, None
'Sistema de Imágenes Mod. H2', 'TRANSITO - TIENDA LIMA/00212', None, 'LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7427, 7352
'Nuevo movimiento:[WERBP] Endo Motor. Mod: EndoRadar Plus Blanco Woodpecker', 'EXHIB/IN/00031', None, '', 'Retorno de EXHIB/OUT/00030', None, 7016, None
'Curing Light  LED.H Plata. Woodpecker', 'TRANSITO - TIENDA LIMA/00084', None, 'LA PLATA - TIENDA LIMA/00132', None, 'LA PLATA - TIENDA LIMA/00132', 3206, 3205
'Guttapercha #25 Spident ', 'TRANSITO - TIENDA LIMA/00112', None, 'LA PLATA - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00172', 4352, 4351
'Curing Light  I LED Blanco Woodpecker', 'TRANSITO - TIENDA LIMA/00212', None, 'LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7427, 7352
'Micro Applicator Fine Size Yellow Cotisen. Caja/4tubos', 'TRANSITO - LA PLATA/00120', None, 'LOS OLIVOS:LAS PLATAS/00085', None, 'LOS OLIVOS:LAS PLATAS/00085', 3006, 2936
'[DBC1009] Disposable prophy SLIM. Nylon color. ZTdental Caja x144 unidades.', 'TRANSITO - LOS OLIVOS/00018', None, 'TIENDA LIMA- LOS OLIVOS/00005', None, 'TIENDA LIMA- LOS OLIVOS/00005', 1269, 1267
'Ultrasonic Scaler.  U600 LED Woodpecker                ', 'TRANSITO - TIENDA LIMA/00174', None, 'LA PLATA - TIENDA LIMA/00245', 'LA PLATA - TIENDA LIMA/00245', 'LA PLATA - TIENDA LIMA/00245', 6186, 6185
'Curing Light  LED.D. Woodpecker', 'TRANSITO - TIENDA LIMA/00093', None, 'LA PLATA - TIENDA LIMA/00149', 'LA PLATA - TIENDA LIMA/00149', 'LA PLATA - TIENDA LIMA/00149', 3649, 3648
'HP01 Hp Mixing Tips Verde x 50 und.', 'TRANSITO - TIENDA LIMA/00232', None, 'LA PLATA - TIENDA LIMA/00320', None, 'LA PLATA - TIENDA LIMA/00320', 8263, 8262
'Ultrasonic Scaler UDS-E LED Woodpecker', 'TRANSITO - TIENDA LIMA/00131', None, 'LA PLATA - TIENDA LIMA/00189', None, 'LA PLATA - TIENDA LIMA/00189', 4940, 4939
'Curing Light  I LED Violeta Woodpecker', 'TRANSITO - TIENDA LIMA/00212', None, 'LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7427, 7352
'Ultrasonic Scaler.  U600 Woodpecker', 'TRANSITO - TIENDA LIMA/00219', None, 'LA PLATA - TIENDA LIMA/00303', 'LA PLATA - TIENDA LIMA/00303', 'LA PLATA - TIENDA LIMA/00303', 7699, 7698
'Guttapercha 04T#30 Spident ', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Nuevo movimiento:[WALIII] Apex Locator Woodpex III  Woodpecker ', 'EXHIB/IN/00031', None, '', 'Retorno de EXHIB/OUT/00030', None, 7016, None
'Curing Light  LED.D. Woodpecker', 'TRANSITO - TIENDA LIMA/00212', None, 'LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7427, 7352
'Guttapercha 04T#20 Spident ', 'TRANSITO - TIENDA LIMA/00112', None, 'LA PLATA - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00172', 4352, 4351
'Endo Motor. Mod: EndoRadar PRO Blanco Woodpecker', 'TRANSITO - TIENDA LIMA/00212', None, 'LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7427, 7352
'[STYM] Temp.it_Y muestra  - N.C.V. 1 Jeringa x 3g', 'TRANSITO - TIENDA LIMA/00211', None, 'LA PLATA - TIENDA LIMA/00294', None, 'LA PLATA - TIENDA LIMA/00294', 7404, 7410
'Hp Mixing Tips Marron x 50 und.', 'TRANSITO - TIENDA LIMA/00190', None, 'LA PLATA - TIENDA LIMA/00260', None, 'LA PLATA - TIENDA LIMA/00260', 6789, 6732
